GameNumber,HomeTeam,AwayTeam,GameDate,KO
357,1,21,2023-08-09,20:00
359,22,18,2023-08-09,21:00
358,19,16,2023-08-09,21:00
360,13,5,2023-08-11,20:00
361,9,3,2023-08-11,20:00
362,10,20,2023-08-12,14:00
363,8,22,2023-08-12,15:00
364,6,21,2023-08-12,19:00
365,4,16,2023-08-12,20:00
367,2,1,2023-08-13,16:00
368,7,11,2023-08-13,17:30
366,17,18,2023-08-13,18:00
369,15,19,2023-08-13,18:00
370,12,9,2023-08-16,21:00
371,16,20,2023-08-18,20:45
372,8,4,2023-08-19,12:00
373,18,10,2023-08-19,19:00
374,19,12,2023-08-19,20:00
375,22,21,2023-08-19,20:00
376,3,5,2023-08-19,21:00
377,7,6,2023-08-20,17:30
378,15,13,2023-08-20,18:00
379,11,9,2023-08-20,19:00
380,1,17,2023-08-20,19:00
